20,275
402,188
549,90
655,378
220,48
142,236
658,361
558,722
62,350
357,499
156,236
666,707
129,252
635,663
480,336
471,678
60,322
138,609
412,242
258,82
291,579
496,398
211,325
391,452
675,198
222,281
434,337
437,12
589,343
125,341
128,45
290,188
546,606
247,229
120,683
489,589
533,256
258,194
30,649
646,155
296,139
614,179
476,322
192,515
115,495
305,243
540,44
610,357
100,128
36,220
82,703
258,65
409,516
259,439
614,176
43,182
493,657
361,418
251,2
382,366
497,687
58,487
3,668
293,103
67,507
501,328
482,30
393,162
724,652
601,609
277,94
240,41
22,51
637,451
53,291
88,0
427,147
665,430
264,229
711,332
8,661
660,490
140,502
652,135
603,702
194,151
67,434
370,268
485,278
719,717
18,257
717,446
404,102
325,117
331,486
449,517
418,558
456,8
509,557
143,383
709,337
534,225
221,353
493,155
81,484
143,99
12,309
723,594
411,320
711,192
77,610
158,673
617,615
681,398
621,274
52,601
60,36
98,281
389,591
437,470
524,580
19,714
339,13
28,21
511,189
391,37
248,550
711,136
614,112
534,506
386,36
379,625
72,477
177,461
517,63
203,491
644,222
476,432
413,683
453,196
143,294
233,391
115,215
705,0
506,511
506,341
547,334
237,619
260,593
529,227
656,181
718,20
403,643
452,88
46,355
284,189
649,695
29,35
360,6
213,137
695,168
478,691
503,165
30,212
29,559
439,685
12,606
706,593
521,429
130,567
55,592
206,153
559,413
366,190
597,579
505,12
197,432
703,149
597,182
361,626
13,250
32,203
127,187
245,648
616,554
665,121
417,320
452,425
4,90
64,51
118,569
63,315
273,38
464,319
220,275
395,411
525,427
63,652
614,487
21,679
312,135
249,178
455,702
604,637
63,668
688,359
509,23
675,231
239,588
550,637
134,216
498,108
92,10
32,706
497,231
106,258
366,355
437,270
506,312
178,18
429,316
378,387
517,502
618,205
361,618
113,674
283,60
53,376
71,263
531,17
672,637
276,309
442,713
28,219
296,207
238,174
701,65
562,489
567,629
694,199
518,256
322,73
495,554
449,566
88,251
583,210
338,130
519,51
292,548
448,588
204,686
212,354
22,45
292,589
674,435
238,642
691,9
715,457
563,613
472,101
313,505
311,100
84,279
151,377
276,600
414,658
6,626
283,207
671,575
67,66
281,483
708,422
671,143
328,505
205,250
55,696
26,544
68,110
95,397
487,371
268,173
479,453
248,33
660,191
58,176
435,517
660,592
210,51
184,717
556,389
238,61
534,442
605,602
1,700
271,489
521,717
111,271
441,359
482,550
728,540
727,434
329,107
475,717
158,659
154,163
497,570
224,481
283,101
354,285
250,74
223,220
241,512
491,131
142,245
682,320
234,680
203,563
236,679
552,572
58,706
6,5
548,409
486,280
688,289
14,209
364,237
430,605
198,370
7,341
64,138
110,299
267,313
311,503
441,312
346,500
468,531
683,465
211,440
16,348
0,31
557,542
446,436
596,645
256,604
435,320
191,723
68,459
307,380
411,198
141,207
147,609
9,101
345,398
719,540
17,168
20,23
711,466
638,578
560,165
631,444
663,94
438,181
2,195
